Text1,Text2,domain,Same Causal Variable,Variable Name,explanation (optional)
Incarnation,Hard_times,physics,False,,
Occasion,High_time,physics,True,Time,
Future,Present,physics,True,Time relativity ,
Prime_time,Hour,physics,False,,
Hard_time,Life_sentence,physics,False,,
Tankage,Porterage,physics,False,,
Positive_charge,Electrostatic_charge,physics,True,charge type,
Slight_care,Due_care,physics,True,Care intensity ,
Suicide_mission,Mission_impossible,physics,True,Mission difficulty ,
Levy,Assessment,physics,False,,
Annulet,Ordinary,physics,False,,
Rocket_fuel,Undercharge,physics,False,,
Radiation_pressure,Vapor_pressure,physics,True,pressure  type,
Impression,Compression,physics,True,pressure  type,
Barometric_pressure,Compartment_pressure,physics,False,,
Sampling_frequency,Attendance,physics,False,,
Demand-pull_inflation,Cost-pull_inflation,finance,True,Inflation type,
Rational_motive,Ethical_motive,psychology,True,Motivation type,
Air_transportation_system,Short_line,sociology,False,,
Connection,Airlift,sociology,False,,
Train_fare,Airfare,sociology,True,,
Hauling,Express,sociology,True,Transport type,
Newness,Oldness,sociology,True,age,
Antiquity,Golden_age,sociology,False,,
Minority,Voting_age,sociology,True,Age,
Year_dot,Eon,sociology,True,Time,
Hysteria,Anxiety_neurosis,psychology,True,Mental state ,
Duress,Heartbeat,physics,False,,
Reaction,Stress,physics,False,,
Brunt,Energy,physics,False,,
Line_personnel,Management_personnel,physics,True,,
Headquarters,Legion,physics,True,,
Road_rage,Domestic_violence,physics,True,Crime,
Influence,Moloch,physics,False,,
Trade,Accountancy,sociology,False,,
Stemmer,Sorting_algorithm,computer science,False,,
Diligence,Strictness,psychology,True,,
Body_temperature,Mercury,physics,False,,
Heat,Cold,physics,True,Temperature,
Absolute_space,Mathematical_space,physics,True,Space,
Enclosure,Expanse,physics,True,Area,
Separation,Terreplein,physics,False,,
Indentation,Margin,physics,True,Spacial features,
Work,Mechanical_energy,physics,True,,
Qi,Juice,physics,False,,
Redis,Cassandra,computer science,False,,
Entrepreneur,Blue Collar Worker,sociology,True,Work type,
Very High,Very Low,urban studies,False,,Too general
Friendship Network: The group of individuals with whom one has a close personal relationship.,Family Network: The group of individuals related by blood or marriage.,sociology,True,Social Networks,
Regular doctor checkups,Annual health screenings,health,True,frequency of helth checkups,
Outgoing,High self-esteem,psychology,True,type of personality,
Four-Dimensional Space,One-Dimensional Space,physics,True,the number of space dimensions ,
Entrepreneur,Professional,sociology,True,Type of profession,
Reading-Writing Learner,Kinesthetic Learner,psychology,True,Type of study,
future-mindedness,excitement-seeking,psychology,True,Type of motivations,
Poverty Line,Upper Middle Class,sociology,True,Economic status,
Harvard Architecture,Cache Memory Hierarchy,computer science,True,architecture type,
Temperature Mapping,Stable Temperature,semiconductor manufacturing,True,Temperature change,
vandalism and graffiti,street muggings,urban studies,True,Types of crimes,
Forward Dividend Yield: The next expected dividend payment divided by the current stock price.,Trailing Dividend Yield: The most recent dividend payment divided by the current stock price.,finance,True,Yield types,
stable interest rate period,central bank rate hikes,finance,True,change in interest rate,
Never married,Bachelor's degree recipient,sociology,False,,The first value describes if a person got married or not the other one describes if got some usniversity education or not
Office Worker,Farmer,health,True,Type of working environment ,
Relative Time,Boiling Point,physics,False,,One is related to temperature or pressure the other is related to time
Emotion-Focused,Self-Aware,psychology,False,,I cant really judge 
Online Network,Isolated Individual,sociology,False,,The first text describes a type of network the other text describes how well an individual is connected
Artistic Pursuits,Poverty Line,sociology,False,,
Dispersion,Magnetic field,physics,False,,
Prescription Follower,Underweight,health,False,,
Religion: A social institution that provides a system of beliefs and practices related to the supernatural.,Family Network: The group of individuals related by blood or marriage.,sociology,False,,
Bachelor's degree recipient,Ph.D. holder,sociology,True,Level of education ,
Stressful work deadlines,Isolated living,health,False,,
Elapsed Time,Audio Frequency,physics,False,,
Library,Moderate,urban studies,False,,
Bearish Trend,Technology Sector,finance,False,,one is a trend one is a sctor
Early morning awakenings,Daytime naps,health,True,Sleeping patterns,
Teetotaler,Social Drinker,health,True,Drinking habits,
C++,JavaScript,computer science,True,Programming languages,
neglectful supervision,achievement-driven,psychology,True,supervision style,
Multicultural festivals,Ethnic enclaves,urban studies,True,Cultural events,
Stack Overflow Handling,Tree Traversal Algorithm,computer science,False,,One is an algorithm one is error handling
Wafer-Level Process,Bulk Silicon Process,semiconductor manufacturing,True,Process type,
Respiratory medication,Psychiatric medication,health,True,Type of medications,
Absorber (charcoal),High frequency wave (X-rays),physics,False,,one is material one is wave type
Transgender woman,Genderqueer person,sociology,True,Gender orientation,
Passion for Learning,Intrinsic Drive for Personal Growth,psychology,True,Learning motivation,
Uniform Etching,Stable Temperature,semiconductor manufacturing,False,,
Price-to-Sales Ratio: A valuation ratio that compares a company's stock price to its revenue per share.,S&P 500: A market-capitalization-weighted index of 500 large companies having common stock listed on the NYSE or NASDAQ.,finance,True,Stock index value,
Supply Chain Disruptions,Blockchain Applications Development,finance,False,,
"Class 10,000",Class 100,semiconductor manufacturing,True,Class type,
Compression,Queue,computer science,False,,
Tensile material (wire),High frequency wave (X-rays),physics,False,,
Volatile Market,Stable Market,finance,True,Market stability,
Linear Time Complexity,Tree Traversal Algorithm,computer science,False,,
Negative Charge,Positive Charge,physics,True,charge type,
High,Cooperative Housing,urban studies,False,,
Monthly community events,Alcohol consumption,health,False,,
RISC (Reduced Instruction Set Computer) Architecture: A simplified instruction set,"C++: Object-oriented, compiled language",computer science,False,,
Community parks,Botanical gardens,urban studies,True,green spaces types,
Factory Worker,Underweight,health,False,,
market crash,rising rates,finance,True,Market status,
deflation,creeping inflation,finance,True,Inflation status,
System-in-Package,Extreme Ultraviolet,semiconductor manufacturing,False,,
Class 1000,22 nm,semiconductor manufacturing,False,,one is related to clean room class the other one is about dimensions
Corporate Bonds: Debt securities issued by corporations.,Consumer Price Index (CPI): A measure of the average change over time in the prices paid by urban consumers for a market basket of consumer goods and services.,finance,False,,
wet etching,plasma etching,semiconductor manufacturing,True,Etching process type,
Charge of a capacitor,Kinetic energy of a bullet,physics,False,,
Producer Price Index (PPI): A measure of the average change over time in the selling prices received by domestic producers for their output.,Consumer Price Index (CPI): A measure of the average change over time in the prices paid by urban consumers for a market basket of consumer goods and services.,finance,True,Finance index type,
public transit system,knowledge economy,urban studies,False,,
reactive ion etching,wet etching,semiconductor manufacturing,True,Type of etching,
full employment,severe unemployment,finance,True,Employment status,
Extremely Low,Medium,urban studies,False,,Too general
PostgreSQL,Cassandra,computer science,True,Data base type,
Mixed-use developments,Botanical gardens,urban studies,False,,
Low,High,semiconductor manufacturing,False,,Too general
Pain medication,Vegetarian,health,False,,
Chain Smoker,Social Drinker,health,False,,
Urban core with high-rise buildings,International cuisine restaurants,urban studies,False,,
high energy implantation,medium energy implantation,semiconductor manufacturing,True,Energy level in implantation ,
Prism,Reflective Insulation,physics,True,Types of insulations ,
alternative medicine followers,public healthcare users,sociology,True,Type of treatment ,
Abundant and Diverse,Limited and Narrow,urban studies,True,Availability,
High School Diploma,Unemployed,sociology,False,,
television viewers,radio listeners,sociology,True,Communication chanel ,
Muon,Lepton,physics,True,Particle stability,
rooftop gardens,sparse vegetation areas,urban studies,True,green spaces types,
Financial services center,Manufacturing district,urban studies,True,Land use,
7 nm,14 nm,semiconductor manufacturing,True,Diameter,
Trade Agreements,Technology Sector,finance,False,,
Thermal Energy,Potential Energy,physics,True,Type of energy,
Low Market Share,Dominant Market Share,finance,True,% of market share,
Shared Values and Goals,Communication and Understanding,psychology,False,,
aluminum fins,copper tubing,physics,True,tool type,
Vegan,Mediterranean,health,True,Diet type,
Historic preservation initiatives,State-of-the-art hospitals,urban studies,False,,
High Environmental Exposure (significant exposure to pollutants),Low Environmental Exposure (minimal exposure to pollutants),health,True,exposure to pollutants,
Mixed-use developments,Revitalization of waterfront areas,urban studies,False,,
Java,Tree,computer science,False,,
Disaster-Prone Region,Zoning Regulation,urban studies,False,,
Gluon,Quantum electrodynamics,physics,False,,
competence,self-confidence,psychology,False,,
Scarce and Inaccessible,Extensive and Efficient,urban studies,False,,
Charge of a capacitor,Speed of sound,physics,False,,
Medium Interest Rate,High Interest Rate,finance,True,Interest rate,
arid desert climates,sports complexes,urban studies,False,,
Low,Self-Aware,psychology,False,,
Genetic protection,No genetic predisposition,health,True,Genetic protection,
None of the Above,Subway,urban studies,False,,
Good,Former Smoker,health,False,,
Highly Sensitive,Not Sensitive,semiconductor manufacturing,True,Sensitive level,
Low,Moderate,psychology,False,,
Gluon,Scikit-learn,computer science,False,,
orderliness,competence,psychology,False,,
Electric field,Magnetic field,physics,True,Filed type,
Vegetarian,Pescatarian,health,True,dietary practice,
Single Parent Household,Nuclear Family,sociology,True,Family status,
Desert Resident,Factory Worker,health,False,,
perspective-taking,achievement-striving,psychology,True,Motivation type,
Retired,Self-Employed,sociology,True,Employment status,
Lowly Supportive,Intuitive,psychology,True,Design type,
Genderfluid individual,Artist,sociology,False,,
Low Income,Mandarin,sociology,False,,
Constant Time,DevOps,computer science,False,,
Help with Tasks from Colleagues,Companionship from Pets,psychology,False,,
Styrofoam,Vacuum Flask,physics,True,Isolation type,
stream,heartbeat,semiconductor manufacturing,False,,
centrifugal force,fluorescent lamp,physics,False,,
mechanical polishing,electrolytic polishing,semiconductor manufacturing,True,Polishing type,
Buddhism practitioners,working class,sociology,False,,
Master's degree holder,Suburban area,sociology,False,,
Planck length,Magnetic field of a neodymium magnet,physics,False,,
Moral Values,Personal Values,psychology,True,Values,
Emerging Brand,Unknown Brand,finance,True,Brand power ,
Lean Software Development,Agile Project Management,computer science,True,Project management approach,
flywheel energy storage,gravitational pull,physics,False,,
Weekly gym visits,Urban air pollution,health,False,,
Extended family,Anarchist,sociology,False,,
intellectual curiosity,aesthetic sensitivity,psychology,True,open mindedness,
Real-Time,Distributed,computer science,False,,
Undocumented immigrant,Ph.D. holder,sociology,False,,
"Moderate Drinker (up to one drink per day for women, up to two drinks per day for men)","Heavy Drinker (more than one drink per day for women, more than two drinks per day for men)",health,True,Drinking habits,
Class 1000,High-K Dielectric,semiconductor manufacturing,False,,
Medium Investment,Industry Leader in Compliance,finance,False,,
Introverted Thinker,Overachiever,psychology,False,,
silicon carbide,germanium,semiconductor manufacturing,True,Material type,
postgraduate qualifications,primary school completion,sociology,True,Education level,
severe unemployment,low unemployment,finance,True,Unemployment rate,
aesthetic sensitivity,emotional regulation,psychology,False,,
Bearish Trend,Market Volatility,finance,True,Market status,
Apartment Building,Good,urban studies,False,,
Random access memory modules,Central processing units,computer science,True,Computer comments,
Micron,Submillimeter,semiconductor manufacturing,True,Diameter,
Introverted Thinker,Kinesthetic Learner,psychology,True,Learning style,
print media readers,manufacturing sector,sociology,False,,
New Legislation Implementation,Industry Oversight Modifications,finance,True,political measures  ,
Gravitational Force,Weak Nuclear Force,physics,True,Force types,
rural homesteads,downtown lofts,urban studies,True,Accommodation type,
Education: A social institution that transmits knowledge and skills from one generation to the next.,Vertical Mobility: The movement of individuals or groups between different social classes.,sociology,False,,
Some High School,Walking,sociology,False,,
Flat Wafers,Concave Wafers,semiconductor manufacturing,True,Wafer shape,
"Python: High-level, interpreted language","Java: Object-oriented, platform-independent language",computer science,True,Programming languages,
no regular healthcare,retail business,sociology,False,,
Anarchist,Green card holder,sociology,False,,
Android,Linux,computer science,True,Operating systems ,
Low Employee Turnover,Emerging Brand,finance,False,,
basic public services,minimal sustainability efforts,urban studies,False,,
perfect alignment,chemical mechanical polishing,semiconductor manufacturing,False,,
Limited Social Support,Strong Social Support,health,True,Social Support,
Medium Business Confidence,High Business Confidence,finance,True,Business Confidence,
Copper,Plasma Etching,semiconductor manufacturing,False,,
RISC (Reduced Instruction Set Computer) Architecture: A simplified instruction set,Harvard Architecture: Separate memory for data and instructions,computer science,True,Computer architecture,
Queue: A First-In-First-Out (FIFO) data structure,Random Access Memory (RAM): Temporary data storage,computer science,True,Access type,
Photon,Z Boson,physics,True,carrier particle type,
Laravel,Ember.js,computer science,True,framework type,
Vegan dishes,Dairy-rich diet,health,True,Diet type,
JavaScript,Java,computer science,True,Programming language ,
Prism,Gravitational Wave,physics,False,,
Vibrating Diaphragm,Bar Magnet,physics,True,Magnet type,
Transverse wave (light),Black body (coal),physics,False,,
Setback Recoverer,Visual Learner,psychology,False,,
Chain Smoker,Office Worker,health,False,,
Gamma Radiation,Liquid,physics,False,,
self-worth,competence,psychology,True,,
gear train,convection by air movement,physics,False,,
Audible frequency wave (music),High frequency wave (X-rays),physics,True,,
Violent crime hotspots,Manufacturing district,urban studies,False,,
Perception of Colors,Perception of Tastes,psychology,True,,
Bike-Friendly Roads,Efficient Public Transit,urban studies,True,,
Embedded,Social Engineering,computer science,False,,
Stressful work deadlines,Dairy-rich diet,health,False,,
Logical Reasoning,Creative Thinking,psychology,True,,
Liquid,Alpha Radiation,physics,False,,
Hindu,Divorced,sociology,False,,
Park,Community Center,urban studies,True,,
Personal Vehicle,Walking,sociology,True,,
Limited sun exposure,Insomniac,health,False,,
Light Sleeper,Healthcare Professional,health,False,,
Real Gross Domestic Product (RGDP): The nominal GDP adjusted for inflation.,"Gross National Product (GNP): The total market value of all goods and services produced by a country's citizens and businesses, regardless of their location in the world.",finance,True,,
Rancher,CoreOS,computer science,True,,
Flip Chip,System-in-Package,semiconductor manufacturing,True,,
Function as a Service,Desktop as a Service,computer science,True,,
Electric field,Fusion,physics,False,,
Screen Addict,Dehydrated,health,False,,
Couch Potato,Outdoor Adventurer,sociology,True,,
moderate sustainability efforts,minimal sustainability efforts,urban studies,True,sustainability efforts,
reactive ion etching,particle-free air,semiconductor manufacturing,False,,
Tanned,Sunscreen User,health,False,,
Parametric Testing,Wet Oxidation,semiconductor manufacturing,False,,
Yearly marathon participation,Alcohol consumption,health,False,,
2-3 times a week,No Education,sociology,False,,
NumPy,Cassandra,computer science,False,,
Single-parent household,Middle-aged adult,sociology,False,,
Minimal pollution,No pollution,health,True, pollution,
Problem-Solving Approaches,Communication and Understanding,psychology,False,,
Scrapped Wafers,Uniform Etching,semiconductor manufacturing,False,,
ASP.NET,Flask,computer science,True,Development frame work ,
Gold,Tungsten,semiconductor manufacturing,True,Martial type,
Manual Laborer,Single,sociology,False,,
Low-K Dielectric,High-K Dielectric,semiconductor manufacturing,True,K Dielectric level,
Moderate genetic predisposition,Minimal pollution,health,False,,
"Python: High-level, interpreted language","C++: Object-oriented, compiled language",computer science,True,Programing languages,
Police Patrol Zone,Historic Landmark,urban studies,False,,
Neurological disease,1-2 times a week,health,False,,
particle-free air,smooth surface,semiconductor manufacturing,False,,
Retail Industry Performance,Inflation Concerns,finance,False,,
Nanowire,High,semiconductor manufacturing,False,,
political unrest in a region,significant earnings drop,finance,False,,
Low stress,High stress,health,True,Stress level ,
Selective,Avoidant,psychology,True,Choice capability ,
