Text1,Text2,Same Causal Variable,domain
mass killing,2nd degree murder,False,wiki_causal
impeach,ministerial responsibility,True,wiki_causal
social issue,conflict,False,wiki_causal
impeachment,impeachment process,True,wiki_causal
dissent,misfortune,False,wiki_causal
impeachment,ministerial responsibility,True,wiki_causal
air accident,school shooting,False,wiki_causal
"Communicable Diseases, Emerging",emerging communicable disease,True,wiki_causal
Infectious Diseases and Manifestations,attack,False,wiki_causal
"Communicable Diseases, Emerging",emerging infectious disease,True,wiki_causal
mass killing,affair,False,wiki_causal
emerging communicable disease,emerging infectious disease,True,wiki_causal
fire-raising,impeach,False,wiki_causal
despoliation,ransack,True,wiki_causal
murder,disease outbreak,False,wiki_causal
looting,ransack,True,wiki_causal
shortage,hostilities,False,wiki_causal
ransack,sack,True,wiki_causal
disease by infectious agent,bombing,False,wiki_causal
eruption,volcanic eruption,True,wiki_causal
fraud,impeachment,False,wiki_causal
volcanic eruption,volcano eruption,True,wiki_causal
disagreement,homicide,False,wiki_causal
eruption,volcano eruption,True,wiki_causal
financial crisis,slaughter,False,wiki_causal
statute law,statutory law,True,wiki_causal
impeachment process,emerging communicable disease,False,wiki_causal
economic crisis,economic decline,True,wiki_causal
thievery,impeachment in the United States,False,wiki_causal
economical crisis,economy crisis,True,wiki_causal
volcanic eruption,Clinical Infection,False,wiki_causal
economical crisis,financial crisis,True,wiki_causal
aeroplane crash,risk factor,False,wiki_causal
economic crisis,financial crisis,True,wiki_causal
energy crisis,ID,False,wiki_causal
arson,incendiarism,True,wiki_causal
impeachment in the United States,mass executions,False,wiki_causal
arson,arsonry,True,wiki_causal
attack,outbreak,False,wiki_causal
fire-raising,incendiarism,True,wiki_causal
financial crisis,emerging infectious disease,False,wiki_causal
epidemic,outbreak,True,wiki_causal
riot,temblor,False,wiki_causal
aeroplane crash,air crash,True,wiki_causal
occupational accident,armed conflict,False,wiki_causal
aeroplane crash,helicopter crash,True,wiki_causal
fraud,demand surplus,False,wiki_causal
aircraft crash,helicopter crash,True,wiki_causal
putsch,riot,False,wiki_causal
Clinical Infection,Infectious Diseases and Manifestations,True,wiki_causal
misadventure,affair,False,wiki_causal
ID,pestilence,True,wiki_causal
scandal,mass shooting,False,wiki_causal
Infectious,infection,True,wiki_causal
workplace accident,temblor,False,wiki_causal
affair,scandal,True,wiki_causal
bombing,economic crisis,False,wiki_causal
disease outbreak,outbreak,True,wiki_causal
helicopter crash,dissents,False,wiki_causal
"Accidents, Occupational",occupational accident,True,wiki_causal
school shooting,2nd degree murder,False,wiki_causal
occupational accident,work accident,True,wiki_causal
epidemic,fraud,False,wiki_causal
accident at work,workplace accident,True,wiki_causal
looting,fraud,False,wiki_causal
industrial accident,industrial disaster,True,wiki_causal
murder,school shooting,False,wiki_causal
industrial accident,industrial incident,True,wiki_causal
ministerial responsibility,risk factor,False,wiki_causal
industrial disaster,industrial incident,True,wiki_causal
social problems,civil strife,False,wiki_causal
heist,thieving,True,wiki_causal
conflict of power,industrial accident,False,wiki_causal
theft,thieving,True,wiki_causal
mass killing,social ill,False,wiki_causal
stealing,thievery,True,wiki_causal
natural hazard,air crash,False,wiki_causal
juloos,procession,True,wiki_causal
emerging communicable disease,attack,False,wiki_causal
bomb attack,bombing,True,wiki_causal
murder,social ill,False,wiki_causal
quake,temblor,True,wiki_causal
riots,outbreak,False,wiki_causal
earth quake,tremor,True,wiki_causal
iced,catastrophe,False,wiki_causal
earth quake,temblor,True,wiki_causal
attack,catastrophe,False,wiki_causal
armed conflict,military conflict,True,wiki_causal
self-killing,impeach,False,wiki_causal
conflict,military conflict,True,wiki_causal
bomb attack,mass killings,False,wiki_causal
armed conflict,conflict,True,wiki_causal
calamity,airplane crash,False,wiki_causal
War,military conflict,True,wiki_causal
excess demand,school shooting,False,wiki_causal
War,hostilities,True,wiki_causal
fraud,procession,False,wiki_causal
conflict,military conflict,True,wiki_causal
golpe,attack,False,wiki_causal
economic shortage,excess demand,True,wiki_causal
overthrow,riots,False,wiki_causal
demand surplus,shortage,True,wiki_causal
impeachment in the United States,emerging infectious disease,False,wiki_causal
excess demand,shortage,True,wiki_causal
hazard,scandal,False,wiki_causal
mass execution,massacre,True,wiki_causal
quake,fraud,False,wiki_causal
mass executions,massacre,True,wiki_causal
impeachment in the United States,attack,False,wiki_causal
massacres,slaughter,True,wiki_causal
civil unrest,social ill,False,wiki_causal
mass killings,mass murder,True,wiki_causal
communicable disease,outbreak,False,wiki_causal
mass killing,soree murders,True,wiki_causal
civil strife,armed conflict,False,wiki_causal
mass murder,spree murder,True,wiki_causal
impeach,bomb attack,False,wiki_causal
aviation accident,plane crash,True,wiki_causal
mass shooting,school shooting,False,wiki_causal
air accident,aircraft accident,True,wiki_causal
mass shooting,affair,False,wiki_causal
aircraft accident,aviation accident,True,wiki_causal
heist,statutory law,False,wiki_causal
misadventure,mishap,True,wiki_causal
economy crisis,school shooting,False,wiki_causal
misfortune,mishap,True,wiki_causal
volcano eruption,homicide,False,wiki_causal
accident,misfortune,True,wiki_causal
impeachment in the United States,eruption,False,wiki_causal
coup,overthrow,True,wiki_causal
murder,industrial disaster,False,wiki_causal
coup,golpe,True,wiki_causal
murder,street protest,False,wiki_causal
coups,coups d'̩tat,True,wiki_causal
economic crisis,hazard,False,wiki_causal
political regime change,revolution,True,wiki_causal
incendiarism,mass shooting,False,wiki_causal
Regime change,change of political regime,True,wiki_causal
statutory law,tsunami,False,wiki_causal
regime change,revolution,True,wiki_causal
excess demand,risk factor,False,wiki_causal
self-killing,suicide,True,wiki_causal
suicide,disasters,False,wiki_causal
self-killing,self-murder,True,wiki_causal
workplace accident,self-murder,False,wiki_causal
killed by self,suicide,True,wiki_causal
misfortune,energy crisis,False,wiki_causal
civil disorder,social unrest,True,wiki_causal
change of political regime,energy crisis,False,wiki_causal
civil strife,social unrest,True,wiki_causal
demand surplus,earth quake,False,wiki_causal
civil disorder,civil strife,True,wiki_causal
aircraft crash,emerging communicable disease,False,wiki_causal
demonstration,protest,True,wiki_causal
conflict,fire-raising,False,wiki_causal
rally,street protest,True,wiki_causal
incendiarism,epidemic,False,wiki_causal
demonstration,street protest,True,wiki_causal
mass shooting,outbreak,False,wiki_causal
demonstration,protest,True,wiki_causal
mass shooting,energy crisis,False,wiki_causal
demonstration,dissents,True,wiki_causal
outbreak,fraud,False,wiki_causal
power conflict,protest movements,True,wiki_causal
economic crisis,dissent,False,wiki_causal
natural calamity,natural disaster,True,wiki_causal
fraud,economic crisis,False,wiki_causal
natural calamity,natural hazard,True,wiki_causal
bomb attack,energy crisis,False,wiki_causal
natural disaster,natural hazard,True,wiki_causal
energy crisis,social problems,False,wiki_causal
calamity,catastrophe,True,wiki_causal
air accident,incendiarism,False,wiki_causal
calamity,disasters,True,wiki_causal
volcanic eruption,military conflict,False,wiki_causal
catastrophe,disasters,True,wiki_causal
offence,"Communicable Diseases, Emerging",False,wiki_causal
social ill,social problems,True,wiki_causal
statutory law,ID,False,wiki_causal
social ill,social problem,True,wiki_causal
military conflict,change of regime,False,wiki_causal
social issue,social problem,True,wiki_causal
juloos,infection,False,wiki_causal
crime,criminal offense,True,wiki_causal
"Communicable Diseases, Emerging",change of political regime,False,wiki_causal
hoodlum,offence,True,wiki_causal
excess demand,statute law,False,wiki_causal
crime,criminal offence,True,wiki_causal
homicide,epidemic,False,wiki_causal
murder 2,murders,True,wiki_causal
quake,occupational accident,False,wiki_causal
murder,murder two,True,wiki_causal
offence,demand surplus,False,wiki_causal
aggravated murder [Illinois],murders,True,wiki_causal
ID,school shooting,False,wiki_causal
homicide,murder,True,wiki_causal
risk factor,disease outbreak,False,wiki_causal
burst,explosion,True,wiki_causal
statute law,street protest,False,wiki_causal
bang,blast,True,wiki_causal
hazard,murders,False,wiki_causal
boom,explosion,True,wiki_causal
demonstrations,economic shortage,False,wiki_causal
conflict,dispute,True,wiki_causal
incendiarism,outbreak,False,wiki_causal
conflict (psychological),psychological conflict,True,wiki_causal
disease outbreak,mass shooting,False,wiki_causal
"conflict, psychological",psychological conflict,True,wiki_causal
