Text1,Text2,Same Causal Variable,Variable Name,model Name,domain,text1_text2_cos_sim_text-embedding-3-large
High-Crime Area,Disaster-Prone Region,True,Public Safety,llama3-70b,urban studies,0.433
Noise Pollution Hotspot,Clean Air Zone,True,Environmental Quality,llama3-70b,urban studies,0.446
Post-War Bungalow,Historic Landmark,True,Building Architecture,llama3-70b,urban studies,0.291
Student Quarter,Retiree Enclave,True,Neighborhood Demographics,llama3-70b,urban studies,0.352
Lively Nightlife Scene,Historic Museum Quarter,True,Cultural Amenities,llama3-70b,urban studies,0.303
Well-Connected Highway,Waterway Access,True,Transportation Infrastructure,llama3-70b,urban studies,0.419
Tourist Destination,Agricultural Market,True,Economic Activity,llama3-70b,urban studies,0.237
Community-Led Initiative,City Council Governance,True,Urban Governance,llama3-70b,urban studies,0.313
High-Crime Area,Police Patrol Zone,True,Public Safety,llama3-70b,urban studies,0.437
Young Professional Community,Student Quarter,True,Neighborhood Demographics,llama3-70b,urban studies,0.36
Pedestrianized Streets,Public-Private Partnership,False,,llama3-70b,urban studies,0.258
Student Quarter,Inclusionary Zoning,False,,llama3-70b,urban studies,0.255
Family-Oriented Neighborhood,Waterway Access,False,,llama3-70b,urban studies,0.192
Vibrant Arts District,Clean Air Zone,False,,llama3-70b,urban studies,0.342
Safe Neighborhood Watch,Historic Landmark,False,,llama3-70b,urban studies,0.235
Noise Pollution Hotspot,Retiree Enclave,False,,llama3-70b,urban studies,0.222
Well-Connected Highway,Historic Museum Quarter,False,,llama3-70b,urban studies,0.12
Pedestrianized Streets,Historic Landmark,False,,llama3-70b,urban studies,0.234
Disaster-Prone Region,Lively Nightlife Scene,False,,llama3-70b,urban studies,0.203
Immigrant Settlement,Waterway Access,False,,llama3-70b,urban studies,0.192
Heat Engine,Ideal Gas,True,Thermodynamic System,llama3-70b,physics,0.393
Vacuum Flask,Ceramic Fiber,True,Thermal Insulator,llama3-70b,physics,0.31
Cryogenic Chamber,Refrigerator,True,Thermodynamic System,llama3-70b,physics,0.406
Radio Wave,Visible Light,True,Electromagnetic Wave,llama3-70b,physics,0.447
Radioactive Isotope,Solar Flare,True,Radiation Source,llama3-70b,physics,0.235
Earth's Gravity,Gravitational Wave,True,Gravitational Field,llama3-70b,physics,0.502
Fiberglass,Ceramic Fiber,True,Thermal Insulator,llama3-70b,physics,0.57
Tuning Fork,Vibrating Diaphragm,True,Mechanical Oscillator,llama3-70b,physics,0.445
Copper Wire,Aluminum Foil,True,Electrical Conductor,llama3-70b,physics,0.445
Glass Lens,Water,True,Optical Medium,llama3-70b,physics,0.236
Air,Ideal Gas,False,,llama3-70b,physics,0.339
Pendulum Clock,Gold Plating,False,,llama3-70b,physics,0.195
Tuning Fork,Laser Diode,False,,llama3-70b,physics,0.277
Vibrating Diaphragm,Refrigerator,False,,llama3-70b,physics,0.254
Air,Visible Light,False,,llama3-70b,physics,0.333
Ceramic Fiber,Solar Flare,False,,llama3-70b,physics,0.21
Laser Diode,Gravitational Wave,False,,llama3-70b,physics,0.297
Inertial Frame,Ceramic Fiber,False,,llama3-70b,physics,0.193
Frictionless Pulley,Prism,False,,llama3-70b,physics,0.193
Glass Lens,Vibrating Diaphragm,False,,llama3-70b,physics,0.317
Healthy Family,Heart Disease Family,True,Family Medical History,llama3-70b,health,0.581
Avid Hiker,Marathon Runner,True,Physical Activity Level,llama3-70b,health,0.413
Desert Resident,Beachside Resident,True,Environmental Exposure,llama3-70b,health,0.558
Treatment Non-Adherent,Medication Abuser,True,Medication Adherence,llama3-70b,health,0.432
Avid Hiker,Couch Potato,True,Physical Activity Level,llama3-70b,health,0.258
Chain Smoker,Heavy Smoker,True,Smoking Status,llama3-70b,health,0.721
Muscular Build,Athletic Build,True,Body Mass Index,llama3-70b,health,0.821
Diabetic Family,Cancer Survivor Family,True,Family Medical History,llama3-70b,health,0.557
Omnivore,Vegan,True,Diet Type,llama3-70b,health,0.436
City Dweller,Rural Resident,True,Environmental Exposure,llama3-70b,health,0.54
Avid Hiker,Heart Disease Family,False,,llama3-70b,health,0.199
Avid Hiker,Medication Abuser,False,,llama3-70b,health,0.236
Light Sleeper,Factory Worker,False,,llama3-70b,health,0.262
Cancer Survivor Family,Marathon Runner,False,,llama3-70b,health,0.274
Vegan,Beachside Resident,False,,llama3-70b,health,0.179
Schizophrenic,Medication Abuser,False,,llama3-70b,health,0.334
Night Owl,Non Smoker,False,,llama3-70b,health,0.352
Medication Abuser,Couch Potato,False,,llama3-70b,health,0.245
Schizophrenic,Avid Hiker,False,,llama3-70b,health,0.186
Marathon Runner,Heavy Smoker,False,,llama3-70b,health,0.319
Wire Bonding,Flip Chip,True,Packaging Technology,llama3-70b,semiconductor manufacturing,0.486
Memory Chip,Microprocessor,True,Type of Semiconductor Device,llama3-70b,semiconductor manufacturing,0.521
Argon Fluoride,KrF Excimer Laser,True,Lithography Wavelength,llama3-70b,semiconductor manufacturing,0.533
System-in-Package,Through-Silicon Via,True,Packaging Technology,llama3-70b,semiconductor manufacturing,0.46
Wire Bonding,System-in-Package,True,Packaging Technology,llama3-70b,semiconductor manufacturing,0.336
Wet Etching,Dry Etching,True,Type of Etching Process,llama3-70b,semiconductor manufacturing,0.781
Gold,Tungsten,True,Type of Interconnect Metal,llama3-70b,semiconductor manufacturing,0.377
Molecular Beam Epitaxy,Chemical Vapor Deposition,True,Method of Doping,llama3-70b,semiconductor manufacturing,0.515
Deep Ultraviolet,Extreme Ultraviolet,True,Lithography Wavelength,llama3-70b,semiconductor manufacturing,0.75
Molecular Beam Epitaxy,Ion Implantation,True,Method of Doping,llama3-70b,semiconductor manufacturing,0.401
Gate-All-Around,Flip Chip,False,,llama3-70b,semiconductor manufacturing,0.319
Silicon Dioxide,Microprocessor,False,,llama3-70b,semiconductor manufacturing,0.203
Plasma Etching,KrF Excimer Laser,False,,llama3-70b,semiconductor manufacturing,0.468
Wet Etching,Bulk Silicon,False,,llama3-70b,semiconductor manufacturing,0.317
Nanowire,Through-Silicon Via,False,,llama3-70b,semiconductor manufacturing,0.359
Dry Etching,System-in-Package,False,,llama3-70b,semiconductor manufacturing,0.215
Class 100000,Dry Etching,False,,llama3-70b,semiconductor manufacturing,0.227
Aluminum,Gate-All-Around,False,,llama3-70b,semiconductor manufacturing,0.217
Class 100,Chemical Vapor Deposition,False,,llama3-70b,semiconductor manufacturing,0.223
Class 100,Aluminum,False,,llama3-70b,semiconductor manufacturing,0.231
Cache Memory Hierarchy,Harvard Architecture,True,Computer Architecture,llama3-70b,computer science,0.408
Deep Learning Neural Network,Natural Language Processing,True,Artificial Intelligence Technique,llama3-70b,computer science,0.434
Waterfall Development Cycle,Agile Project Management,True,Software Development Methodology,llama3-70b,computer science,0.451
Relational Database Management,NoSQL Document Store,True,Database System,llama3-70b,computer science,0.418
NoSQL Document Store,Graph Database Model,True,Database System,llama3-70b,computer science,0.43
Kanban Workflow,Waterfall Development Cycle,True,Software Development Methodology,llama3-70b,computer science,0.457
Logarithmic Space Complexity,Linear Time Complexity,True,Computational Complexity,llama3-70b,computer science,0.572
SQL Injection Attack,Denial of Service Attack,True,Cybersecurity Threat,llama3-70b,computer science,0.463
Python Syntax,JavaScript Engine,True,Programming Language,llama3-70b,computer science,0.255
Computer Vision Application,Natural Language Processing,True,Artificial Intelligence Technique,llama3-70b,computer science,0.32
Phishing Email Campaign,HTTP Request Method,False,,llama3-70b,computer science,0.262
Natural Language Processing,Waterfall Development Cycle,False,,llama3-70b,computer science,0.124
HTTP Request Method,Harvard Architecture,False,,llama3-70b,computer science,0.182
NP-Complete Problem,Natural Language Processing,False,,llama3-70b,computer science,0.23
Phishing Email Campaign,Agile Project Management,False,,llama3-70b,computer science,0.224
Voice User Interface,Python Syntax,False,,llama3-70b,computer science,0.17
SMTP Email Protocol,NoSQL Document Store,False,,llama3-70b,computer science,0.192
Kanban Workflow,Graph Database Model,False,,llama3-70b,computer science,0.247
Phishing Email Campaign,Lean Software Development,False,,llama3-70b,computer science,0.124
Queue Data Type,Linear Time Complexity,False,,llama3-70b,computer science,0.288
Blended Family,Nuclear Family,True,Family Structure,llama3-70b,sociology,0.516
Close-Knit Community,Online Network,True,Social Network,llama3-70b,sociology,0.325
Immigrant Community,Mainstream Culture,True,Cultural Identity,llama3-70b,sociology,0.326
Frequent Mover,Recent Migrant,True,Residential Mobility,llama3-70b,sociology,0.458
Working Class,Poverty Line,True,Economic Status,llama3-70b,sociology,0.392
Christian,Hindu,True,Religious Affiliation,llama3-70b,sociology,0.337
Artistic Pursuits,Outdoor Adventurer,True,Leisure Activity,llama3-70b,sociology,0.287
Upper Class,Poverty Line,True,Economic Status,llama3-70b,sociology,0.36
Liberal Democrat,Libertarian,True,Political Ideology,llama3-70b,sociology,0.608
Counterculture,Ethnic Minority,True,Cultural Identity,llama3-70b,sociology,0.27
Libertarian,Online Network,False,,llama3-70b,sociology,0.185
Sports Enthusiast,Nomadic Lifestyle,False,,llama3-70b,sociology,0.155
Single Parent Household,Mainstream Culture,False,,llama3-70b,sociology,0.25
Atheist,Recent Migrant,False,,llama3-70b,sociology,0.161
Extended Family,Loose Acquaintances,False,,llama3-70b,sociology,0.404
Close-Knit Community,Poverty Line,False,,llama3-70b,sociology,0.173
Couch Potato,Hindu,False,,llama3-70b,sociology,0.187
Isolated Individual,Outdoor Adventurer,False,,llama3-70b,sociology,0.327
Blue Collar Worker,Poverty Line,False,,llama3-70b,sociology,0.249
Loose Acquaintances,Libertarian,False,,llama3-70b,sociology,0.231
Confronter,Rationalizer,True,Coping Mechanism,llama3-70b,psychology,0.285
Availability Heurist,Confirmation Biased,True,Cognitive Bias,llama3-70b,psychology,0.263
Auditory Learner,Visual Learner,True,Learning Style,llama3-70b,psychology,0.653
Emotional Explorer,Emotional Avoider,True,Emotional Regulation,llama3-70b,psychology,0.564
Hands-On Learner,Reading-Writing Learner,True,Learning Style,llama3-70b,psychology,0.529
Suppressor,Rationalizer,True,Coping Mechanism,llama3-70b,psychology,0.366
Confronter,Denier,True,Coping Mechanism,llama3-70b,psychology,0.237
Anchored Thinker,Sunk Cost Fallacy,True,Cognitive Bias,llama3-70b,psychology,0.24
Emotional Explorer,Emotional Expresser,True,Emotional Regulation,llama3-70b,psychology,0.722
Confident Individual,Self-Doubter,True,Self-Esteem,llama3-70b,psychology,0.521
Insecure Person,Rationalizer,False,,llama3-70b,psychology,0.322
Adversity Overcomer,Confirmation Biased,False,,llama3-70b,psychology,0.224
Emotional Suppressor,Intuitive Perceiver,False,,llama3-70b,psychology,0.326
Confirmation Biased,Emotional Avoider,False,,llama3-70b,psychology,0.209
Confident Individual,Rationalizer,False,,llama3-70b,psychology,0.34
Fear-Driven,Denier,False,,llama3-70b,psychology,0.199
Close-Knit Friend Group,Sunk Cost Fallacy,False,,llama3-70b,psychology,0.105
Intuitive Perceiver,Suppressor,False,,llama3-70b,psychology,0.229
Intuitive Perceiver,Self-Doubter,False,,llama3-70b,psychology,0.372
Stress Manager,Introverted Thinker,False,,llama3-70b,psychology,0.258
Small Cap,Mid Cap,True,Company Size,llama3-70b,finance,0.838
Lax Regulations,Industry-Specific Laws,True,Regulatory Environment,llama3-70b,finance,0.369
Monopoly Market,Oligopoly Market,True,Competitive Landscape,llama3-70b,finance,0.714
Cost Leadership Strategy,Diversification Plan,True,Growth Strategy,llama3-70b,finance,0.265
European Union,Emerging Market,True,Geographic Location,llama3-70b,finance,0.294
Financial Institution,Manufacturing Firm,True,Industry Type,llama3-70b,finance,0.354
Developed Economy,North American Market,True,Geographic Location,llama3-70b,finance,0.347
Conservative Financing,Low Debt Ratio,True,Financial Leverage,llama3-70b,finance,0.364
Bearish Trend,Bullish Trend,True,Market Sentiment,llama3-70b,finance,0.812
Economic Uncertainty,Bullish Trend,True,Market Sentiment,llama3-70b,finance,0.324
Optimal Capital Structure,Monopoly Market,False,,llama3-70b,finance,0.254
Monopoly Market,Mid Cap,False,,llama3-70b,finance,0.254
Market Penetration,Industry-Specific Laws,False,,llama3-70b,finance,0.162
Monetary Policy,Oligopoly Market,False,,llama3-70b,finance,0.298
Emerging Market,Stringent Regulations,False,,llama3-70b,finance,0.234
Manufacturing Firm,Diversification Plan,False,,llama3-70b,finance,0.262
Economic Uncertainty,High Debt Ratio,False,,llama3-70b,finance,0.322
Retail Business,Industry-Specific Laws,False,,llama3-70b,finance,0.329
Market Penetration,Emerging Market,False,,llama3-70b,finance,0.374
Stable Market,European Union,False,,llama3-70b,finance,0.224
limited public services,specialized public services,True,Public Services,mixtral-8x22b-instruct,urban studies,0.63
pedestrian-friendly streets,airport hub,True,Transportation Infrastructure,mixtral-8x22b-instruct,urban studies,0.238
polluted environment,advanced sustainability efforts,True,Environmental Sustainability,mixtral-8x22b-instruct,urban studies,0.314
basic public services,world-class public services,True,Public Services,mixtral-8x22b-instruct,urban studies,0.665
knowledge economy,manufacturing base,True,Economic Activity,mixtral-8x22b-instruct,urban studies,0.303
urban core,megacity,True,Population Density,mixtral-8x22b-instruct,urban studies,0.492
bike lanes,pedestrian-friendly streets,True,Transportation Infrastructure,mixtral-8x22b-instruct,urban studies,0.534
barren landscape,moderate natural features,True,Natural Landscape,mixtral-8x22b-instruct,urban studies,0.358
high historical significance,no historical significance,True,Historical Significance,mixtral-8x22b-instruct,urban studies,0.644
protected natural reserve,barren landscape,True,Natural Landscape,mixtral-8x22b-instruct,urban studies,0.289
protected natural reserve,specialized public services,False,,mixtral-8x22b-instruct,urban studies,0.227
single-family homes,abundant natural features,False,,mixtral-8x22b-instruct,urban studies,0.23
world-class public services,no historical significance,False,,mixtral-8x22b-instruct,urban studies,0.103
townhouses,advanced sustainability efforts,False,,mixtral-8x22b-instruct,urban studies,0.191
social housing,world-class public services,False,,mixtral-8x22b-instruct,urban studies,0.352
advanced sustainability efforts,protected natural reserve,False,,mixtral-8x22b-instruct,urban studies,0.295
social housing,manufacturing base,False,,mixtral-8x22b-instruct,urban studies,0.182
no historical significance,megacity,False,,mixtral-8x22b-instruct,urban studies,0.069
single-family homes,pedestrian-friendly streets,False,,mixtral-8x22b-instruct,urban studies,0.312
bike lanes,moderate natural features,False,,mixtral-8x22b-instruct,urban studies,0.21
Pressure inside a hot air balloon,Atmospheric pressure at sea level,True,Pressure of a gas,mixtral-8x22b-instruct,physics,0.396
Magnetic field of Earth,Magnetic field of a neutron star,True,Magnetic field strength,mixtral-8x22b-instruct,physics,0.572
Planck length,Length of a football field,True,Length of an object,mixtral-8x22b-instruct,physics,0.29
Surface temperature of the sun,Room temperature,True,Temperature of a gas,mixtral-8x22b-instruct,physics,0.413
Diameter of a hydrogen atom,Height of a human,True,Length of an object,mixtral-8x22b-instruct,physics,0.364
Energy of a supernova,Energy of a hurricane,True,Energy of a system,mixtral-8x22b-instruct,physics,0.562
Age of the Universe,Planck time,True,Time duration,mixtral-8x22b-instruct,physics,0.381
Frequency of a gamma ray,Frequency of visible light,True,Frequency of a wave,mixtral-8x22b-instruct,physics,0.571
Speed of light,Typical walking speed,True,Speed of an object,mixtral-8x22b-instruct,physics,0.381
Magnetic field of Jupiter,Magnetic field of a neodymium magnet,True,Magnetic field strength,mixtral-8x22b-instruct,physics,0.565
Magnetic field of Earth,Atmospheric pressure at sea level,False,,mixtral-8x22b-instruct,physics,0.318
Blink of an eye,Magnetic field of a neutron star,False,,mixtral-8x22b-instruct,physics,0.124
Mass of the Earth,Length of a football field,False,,mixtral-8x22b-instruct,physics,0.223
Charge of a lightning bolt,Room temperature,False,,mixtral-8x22b-instruct,physics,0.195
Energy of a lightning bolt,Height of a human,False,,mixtral-8x22b-instruct,physics,0.251
Charge of a capacitor,Energy of a hurricane,False,,mixtral-8x22b-instruct,physics,0.239
Frequency of visible light,Speed of a commercial jet,False,,mixtral-8x22b-instruct,physics,0.296
Speed of a commercial jet,Height of a human,False,,mixtral-8x22b-instruct,physics,0.25
Surface temperature of the sun,Kinetic energy of a bullet,False,,mixtral-8x22b-instruct,physics,0.221
Magnetic field of a neodymium magnet,Age of the Universe,False,,mixtral-8x22b-instruct,physics,0.148
Lightly active,Moderately active,True,Physical activity level,mixtral-8x22b-instruct,health,0.814
Very active,Sedentary,True,Physical activity level,mixtral-8x22b-instruct,health,0.333
No stress,High stress,True,Stress level,mixtral-8x22b-instruct,health,0.615
Lightly active,Sedentary,True,Physical activity level,mixtral-8x22b-instruct,health,0.436
Sedentary,Extremely active,True,Physical activity level,mixtral-8x22b-instruct,health,0.323
Low stress,Moderate stress,True,Stress level,mixtral-8x22b-instruct,health,0.725
Moderate smoker,Non-smoker,True,Smoking status,mixtral-8x22b-instruct,health,0.712
High-protein,Pescatarian,True,Dietary habits,mixtral-8x22b-instruct,health,0.306
Insomniac,Light sleeper,True,Sleep quality,mixtral-8x22b-instruct,health,0.516
Non-drinker,Heavy drinker,True,Alcohol consumption,mixtral-8x22b-instruct,health,0.704
No pollution,Moderately active,False,,mixtral-8x22b-instruct,health,0.195
Social smoker,Extremely active,False,,mixtral-8x22b-instruct,health,0.188
Mild mental illness,Moderately active,False,,mixtral-8x22b-instruct,health,0.392
Moderate pollution,Sedentary,False,,mixtral-8x22b-instruct,health,0.225
Low stress,Social smoker,False,,mixtral-8x22b-instruct,health,0.306
Heavy smoker,Sedentary,False,,mixtral-8x22b-instruct,health,0.253
Heavy smoker,Extremely active,False,,mixtral-8x22b-instruct,health,0.368
Sedentary,Moderate stress,False,,mixtral-8x22b-instruct,health,0.26
Low stress,Non-smoker,False,,mixtral-8x22b-instruct,health,0.339
Low pollution,Pescatarian,False,,mixtral-8x22b-instruct,health,0.224
idle,fast spin,True,Rotation speed of the wafer,mixtral-8x22b-instruct,semiconductor manufacturing,0.284
pressure at the top of Mount Everest,pressure in outer space,True,Pressure of the chamber,mixtral-8x22b-instruct,semiconductor manufacturing,0.538
silicon,silicon carbide,True,Type of substrate,mixtral-8x22b-instruct,semiconductor manufacturing,0.708
blink of an eye,breath,True,Duration of the process,mixtral-8x22b-instruct,semiconductor manufacturing,0.359
flood,stream,True,Flow rate of the gas,mixtral-8x22b-instruct,semiconductor manufacturing,0.385
pressure at the bottom of the Mariana Trench,atmospheric pressure,True,Pressure of the chamber,mixtral-8x22b-instruct,semiconductor manufacturing,0.463
paper thin,CD,True,Thickness of the wafer,mixtral-8x22b-instruct,semiconductor manufacturing,0.256
hydrogen,argon,True,Type of gas used,mixtral-8x22b-instruct,semiconductor manufacturing,0.428
slow spin,fast spin,True,Rotation speed of the wafer,mixtral-8x22b-instruct,semiconductor manufacturing,0.85
antimony,boron,True,Type of dopant,mixtral-8x22b-instruct,semiconductor manufacturing,0.444
silicon,fast spin,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.168
CD,silicon carbide,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.174
trickle,breath,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.32
arsenic,atmospheric pressure,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.247
atmospheric pressure,stream,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.139
trace amount,atmospheric pressure,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.147
hour,CD,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.265
pressure at sea level,argon,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.21
minute,fast spin,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.351
blink of an eye,boron,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.217
PyCharm,Sublime Text,True,IDE/Text Editor,mixtral-8x22b-instruct,computer science,0.533
Java,Kotlin,True,Programming Language,mixtral-8x22b-instruct,computer science,0.434
NetBeans,Emacs,True,IDE/Text Editor,mixtral-8x22b-instruct,computer science,0.42
Subversion,Monotone,True,Version Control System,mixtral-8x22b-instruct,computer science,0.2
MariaDB,Cassandra,True,Database Management System,mixtral-8x22b-instruct,computer science,0.39
CRI-O,Rancher,True,Containerization Platform,mixtral-8x22b-instruct,computer science,0.297
macOS,Solaris,True,Operating System,mixtral-8x22b-instruct,computer science,0.445
TeamCity,Travis CI,True,CI/CD Tool,mixtral-8x22b-instruct,computer science,0.583
Django,Laravel,True,Web Framework,mixtral-8x22b-instruct,computer science,0.383
Drone,Travis CI,True,CI/CD Tool,mixtral-8x22b-instruct,computer science,0.274
Cassandra,Sublime Text,False,,mixtral-8x22b-instruct,computer science,0.234
LXD,Kotlin,False,,mixtral-8x22b-instruct,computer science,0.202
C++,Red Hat Virtualization,False,,mixtral-8x22b-instruct,computer science,0.159
AngularJS,Emacs,False,,mixtral-8x22b-instruct,computer science,0.285
KVM,Monotone,False,,mixtral-8x22b-instruct,computer science,0.153
OpenShift,Cassandra,False,,mixtral-8x22b-instruct,computer science,0.269
Red Hat Virtualization,Rancher,False,,mixtral-8x22b-instruct,computer science,0.216
DigitalOcean,Rancher,False,,mixtral-8x22b-instruct,computer science,0.292
Chrome OS,Emacs,False,,mixtral-8x22b-instruct,computer science,0.295
Google Cloud,Solaris,False,,mixtral-8x22b-instruct,computer science,0.303
Native American,Caucasian,True,Ethnicity,mixtral-8x22b-instruct,sociology,0.383
Senior citizen,Middle-aged adult,True,Age,mixtral-8x22b-instruct,sociology,0.509
Anarchist,Liberal,True,Political ideology,mixtral-8x22b-instruct,sociology,0.422
Liberal,Libertarian,True,Political ideology,mixtral-8x22b-instruct,sociology,0.644
Buddhist,Christian,True,Religion,mixtral-8x22b-instruct,sociology,0.37
High school graduate,Bachelor's degree holder,True,Level of education,mixtral-8x22b-instruct,sociology,0.608
Suburban area,Coastal area,True,Geographic location,mixtral-8x22b-instruct,sociology,0.485
Senior citizen,Young adult,True,Age,mixtral-8x22b-instruct,sociology,0.426
Entrepreneur,Professional,True,Occupation,mixtral-8x22b-instruct,sociology,0.423
High school graduate,Master's degree holder,True,Level of education,mixtral-8x22b-instruct,sociology,0.55
Bachelor's degree holder,Caucasian,False,,mixtral-8x22b-instruct,sociology,0.213
Asian,Middle-aged adult,False,,mixtral-8x22b-instruct,sociology,0.275
Buddhist,Liberal,False,,mixtral-8x22b-instruct,sociology,0.343
Male,Libertarian,False,,mixtral-8x22b-instruct,sociology,0.181
Transgender,Christian,False,,mixtral-8x22b-instruct,sociology,0.237
Middle-aged adult,Bachelor's degree holder,False,,mixtral-8x22b-instruct,sociology,0.295
Anarchist,Coastal area,False,,mixtral-8x22b-instruct,sociology,0.113
Unemployed,Young adult,False,,mixtral-8x22b-instruct,sociology,0.31
Single individual,Professional,False,,mixtral-8x22b-instruct,sociology,0.311
Agnostic,Master's degree holder,False,,mixtral-8x22b-instruct,sociology,0.159
emotional understanding,social awareness,True,Empathy,mixtral-8x22b-instruct,psychology,0.464
goal-directed behavior,ambition,True,Motivation,mixtral-8x22b-instruct,psychology,0.335
vulnerability,anger,True,Neuroticism,mixtral-8x22b-instruct,psychology,0.26
altruism,trust,True,Agreeableness,mixtral-8x22b-instruct,psychology,0.291
self-consciousness,vulnerability,True,Neuroticism,mixtral-8x22b-instruct,psychology,0.352
drive,ambition,True,Motivation,mixtral-8x22b-instruct,psychology,0.346
self-worth,self-respect,True,Self-Esteem,mixtral-8x22b-instruct,psychology,0.677
perspective-taking,compassion,True,Empathy,mixtral-8x22b-instruct,psychology,0.292
drive,goal-directed behavior,True,Motivation,mixtral-8x22b-instruct,psychology,0.287
achievement-striving,dutifulness,True,Conscientiousness,mixtral-8x22b-instruct,psychology,0.285
excitement-seeking,ambition,False,,mixtral-8x22b-instruct,psychology,0.337
modesty,anger,False,,mixtral-8x22b-instruct,psychology,0.216
imagination,trust,False,,mixtral-8x22b-instruct,psychology,0.305
creativity,vulnerability,False,,mixtral-8x22b-instruct,psychology,0.307
hopefulness,ambition,False,,mixtral-8x22b-instruct,psychology,0.324
resilience,self-respect,False,,mixtral-8x22b-instruct,psychology,0.39
assertiveness,self-respect,False,,mixtral-8x22b-instruct,psychology,0.401
anger,compassion,False,,mixtral-8x22b-instruct,psychology,0.343
problem-solving,goal-directed behavior,False,,mixtral-8x22b-instruct,psychology,0.389
dutifulness,stress tolerance,False,,mixtral-8x22b-instruct,psychology,0.167
severe unemployment,full employment,True,Unemployment Rate,mixtral-8x22b-instruct,finance,0.522
bear market,market crash,True,Stock Market Performance,mixtral-8x22b-instruct,finance,0.624
low unemployment,high unemployment,True,Unemployment Rate,mixtral-8x22b-instruct,finance,0.746
fiscal surplus,contractionary policy,True,Fiscal Policy,mixtral-8x22b-instruct,finance,0.377
record profits,losses,True,Corporate Profitability,mixtral-8x22b-instruct,finance,0.417
contractionary policy,expansionary policy,True,Fiscal Policy,mixtral-8x22b-instruct,finance,0.681
depression,recession,True,Gross Domestic Product (GDP),mixtral-8x22b-instruct,finance,0.508
disinflation,deflation,True,Inflation,mixtral-8x22b-instruct,finance,0.747
declining confidence,high confidence,True,Consumer Confidence,mixtral-8x22b-instruct,finance,0.538
disinflation,hyperinflation,True,Inflation,mixtral-8x22b-instruct,finance,0.51
high confidence,full employment,False,,mixtral-8x22b-instruct,finance,0.329
deflation,market crash,False,,mixtral-8x22b-instruct,finance,0.356
falling rates,contractionary policy,False,,mixtral-8x22b-instruct,finance,0.375
near-zero rates,restrictive policy,False,,mixtral-8x22b-instruct,finance,0.367
creeping inflation,stable exchange rate,False,,mixtral-8x22b-instruct,finance,0.318
neutral policy,losses,False,,mixtral-8x22b-instruct,finance,0.199
low unemployment,record profits,False,,mixtral-8x22b-instruct,finance,0.288
severe unemployment,expansionary policy,False,,mixtral-8x22b-instruct,finance,0.284
profitable,recession,False,,mixtral-8x22b-instruct,finance,0.246
moderate unemployment,recession,False,,mixtral-8x22b-instruct,finance,0.369
Top-ranked universities,Specialized vocational training centers,True,Education quality,gpt-3.5-turbo,urban studies,0.229
Violent crime hotspots,Low crime neighborhoods,True,Crime rate,gpt-3.5-turbo,urban studies,0.553
Financial services center,Manufacturing district,True,Economic activity,gpt-3.5-turbo,urban studies,0.288
Suburban neighborhoods with single-family homes,Urban core with high-rise buildings,True,Population density,gpt-3.5-turbo,urban studies,0.441
International cuisine restaurants,Multicultural festivals,True,Cultural diversity,gpt-3.5-turbo,urban studies,0.436
