Text1,Text2,Same Causal Variable,Variable Name,model Name,domain,text1_text2_cos_sim_text-embedding-3-large
Revitalization of waterfront areas,Mixed-use developments,True,Urban renewal projects,gpt-3.5-turbo,urban studies,0.464
Ethnic enclaves,International cuisine restaurants,True,Cultural diversity,gpt-3.5-turbo,urban studies,0.363
Community parks,Green rooftops,True,Green space availability,gpt-3.5-turbo,urban studies,0.372
Tech startups hub,Financial services center,True,Economic activity,gpt-3.5-turbo,urban studies,0.329
State-of-the-art hospitals,Mobile medical units,True,Healthcare access,gpt-3.5-turbo,urban studies,0.393
Financial services center,International cuisine restaurants,False,,gpt-3.5-turbo,urban studies,0.169
Historic preservation initiatives,Low crime neighborhoods,False,,gpt-3.5-turbo,urban studies,0.212
Botanical gardens,Manufacturing district,False,,gpt-3.5-turbo,urban studies,0.189
Manufacturing district,Bicycle lanes,False,,gpt-3.5-turbo,urban studies,0.179
Community health clinics,Top-ranked universities,False,,gpt-3.5-turbo,urban studies,0.18
State-of-the-art hospitals,Low crime neighborhoods,False,,gpt-3.5-turbo,urban studies,0.23
Urban core with high-rise buildings,State-of-the-art hospitals,False,,gpt-3.5-turbo,urban studies,0.319
Gentrified neighborhoods,Suburban neighborhoods with single-family homes,False,,gpt-3.5-turbo,urban studies,0.542
Manufacturing district,Urban core with high-rise buildings,False,,gpt-3.5-turbo,urban studies,0.362
High burglary areas,Community parks,False,,gpt-3.5-turbo,urban studies,0.314
Time dilation,Lorentz transformations,True,Relativistic effects,gpt-3.5-turbo,physics,0.489
Lorentz force,Electromagnetic radiation,True,Electromagnetic interactions,gpt-3.5-turbo,physics,0.376
Work done,Entropy change,True,Thermodynamic processes,gpt-3.5-turbo,physics,0.283
Kinetic energy,Thermal energy,True,Energy of motion,gpt-3.5-turbo,physics,0.627
Dispersion,Interference,True,Wave phenomena,gpt-3.5-turbo,physics,0.408
Superposition,Wave-particle duality,True,Quantum properties,gpt-3.5-turbo,physics,0.313
Alpha decay,Fission,True,Nuclear reactions,gpt-3.5-turbo,physics,0.387
Relativistic momentum,Length contraction,True,Relativistic effects,gpt-3.5-turbo,physics,0.464
Quantum chromodynamics,Vacuum fluctuations,True,Quantum field theory,gpt-3.5-turbo,physics,0.402
Isothermal compression,Heat transfer,True,Thermodynamic processes,gpt-3.5-turbo,physics,0.393
Tunneling,Chemical energy,False,,gpt-3.5-turbo,physics,0.187
Quantum chromodynamics,Lorentz transformations,False,,gpt-3.5-turbo,physics,0.279
Quantum chromodynamics,Electromagnetic radiation,False,,gpt-3.5-turbo,physics,0.33
W boson,Entropy change,False,,gpt-3.5-turbo,physics,0.199
Tunneling,Thermal energy,False,,gpt-3.5-turbo,physics,0.187
Entropy change,Interference,False,,gpt-3.5-turbo,physics,0.239
Boson,Fission,False,,gpt-3.5-turbo,physics,0.292
Quantum electrodynamics,Time dilation,False,,gpt-3.5-turbo,physics,0.328
Potential energy,Interference,False,,gpt-3.5-turbo,physics,0.194
Mechanical energy,Vacuum fluctuations,False,,gpt-3.5-turbo,physics,0.259
Dehydrated,Thirsty,True,Hydration Status,gpt-3.5-turbo,health,0.54
Thirsty,Over-hydrated,True,Hydration Status,gpt-3.5-turbo,health,0.471
Social Drinker,Teetotaler,True,Alcohol Consumption,gpt-3.5-turbo,health,0.441
Light Sleeper,Insomniac,True,Sleep Quality,gpt-3.5-turbo,health,0.539
Light Sleeper,Deep Sleeper,True,Sleep Quality,gpt-3.5-turbo,health,0.666
Light Sleeper,Napper,True,Sleep Quality,gpt-3.5-turbo,health,0.402
Meditation,Exercise,True,Stress Coping Mechanism,gpt-3.5-turbo,health,0.352
Teetotaler,Weekend Partier,True,Alcohol Consumption,gpt-3.5-turbo,health,0.367
Fast Food Lover,Mediterranean,True,Dietary Preference,gpt-3.5-turbo,health,0.251
Screen Addict,Tech Detoxer,True,Screen Time,gpt-3.5-turbo,health,0.491
Light Sleeper,Thirsty,False,,gpt-3.5-turbo,health,0.231
Fast Food Lover,Family-Centric,False,,gpt-3.5-turbo,health,0.265
Tech Detoxer,Over-hydrated,False,,gpt-3.5-turbo,health,0.226
Vegan,Marathon Runner,False,,gpt-3.5-turbo,health,0.256
Meditation,Fast Food Lover,False,,gpt-3.5-turbo,health,0.119
Deep Sleeper,Limited User,False,,gpt-3.5-turbo,health,0.326
Exercise,Mediterranean,False,,gpt-3.5-turbo,health,0.215
Deep Sleeper,Tanned,False,,gpt-3.5-turbo,health,0.215
Socializing,Insomniac,False,,gpt-3.5-turbo,health,0.189
Heavy Drinker,Deep Sleeper,False,,gpt-3.5-turbo,health,0.36
Concave Wafers,Flat Wafers,True,Wafer Bow,gpt-3.5-turbo,semiconductor manufacturing,0.764
Concave Wafers,Convex Wafers,True,Wafer Bow,gpt-3.5-turbo,semiconductor manufacturing,0.892
Dielectric Strength,Insulating Properties,True,Dielectric Breakdown,gpt-3.5-turbo,semiconductor manufacturing,0.5
Tool Calibration,Scheduled Maintenance,True,Equipment Utilization,gpt-3.5-turbo,semiconductor manufacturing,0.324
Temperature Fluctuations,Temperature Mapping,True,Temperature Control,gpt-3.5-turbo,semiconductor manufacturing,0.555
Over Etching,Under Etching,True,Etch Rate,gpt-3.5-turbo,semiconductor manufacturing,0.901
Delamination,Weak Adhesion,True,Photoresist Adhesion,gpt-3.5-turbo,semiconductor manufacturing,0.442
Insulating Properties,Breakdown Voltage,True,Dielectric Breakdown,gpt-3.5-turbo,semiconductor manufacturing,0.334
Scrapped Wafers,Defect-Free Wafers,True,Process Yield,gpt-3.5-turbo,semiconductor manufacturing,0.602
Particle Contamination,Microbial Contamination,True,Cleanroom Contamination,gpt-3.5-turbo,semiconductor manufacturing,0.661
Optimal Dose,Flat Wafers,False,,gpt-3.5-turbo,semiconductor manufacturing,0.141
Chemical Contamination,Convex Wafers,False,,gpt-3.5-turbo,semiconductor manufacturing,0.153
Scheduled Maintenance,Insulating Properties,False,,gpt-3.5-turbo,semiconductor manufacturing,0.148
Tool Calibration,Particle Contamination,False,,gpt-3.5-turbo,semiconductor manufacturing,0.289
Thickness Variability,Chemical Contamination,False,,gpt-3.5-turbo,semiconductor manufacturing,0.17
Chemical Contamination,Scheduled Maintenance,False,,gpt-3.5-turbo,semiconductor manufacturing,0.16
Optimal Dose,Under Etching,False,,gpt-3.5-turbo,semiconductor manufacturing,0.189
Under Etching,Stable Temperature,False,,gpt-3.5-turbo,semiconductor manufacturing,0.203
Uniform Etching,Breakdown Voltage,False,,gpt-3.5-turbo,semiconductor manufacturing,0.184
Scheduled Maintenance,Stable Temperature,False,,gpt-3.5-turbo,semiconductor manufacturing,0.268
PaaS,SaaS,True,Cloud Computing Service Model,gpt-3.5-turbo,computer science,0.599
Constant Time,Exponential Time,True,Algorithm Complexity,gpt-3.5-turbo,computer science,0.513
Unix-Based,Embedded,True,Operating System,gpt-3.5-turbo,computer science,0.317
SMTP,HTTP,True,Network Protocol,gpt-3.5-turbo,computer science,0.563
Functional,Declarative,True,Programming Language,gpt-3.5-turbo,computer science,0.359
FTP,TCP/IP,True,Network Protocol,gpt-3.5-turbo,computer science,0.504
HTTP,UDP,True,Network Protocol,gpt-3.5-turbo,computer science,0.522
PaaS,IaaS,True,Cloud Computing Service Model,gpt-3.5-turbo,computer science,0.694
Linked List,Tree,True,Data Structure,gpt-3.5-turbo,computer science,0.338
Relational,Key-Value,True,Database Model,gpt-3.5-turbo,computer science,0.363
Supervised Learning,SaaS,False,,gpt-3.5-turbo,computer science,0.224
SaaS,Exponential Time,False,,gpt-3.5-turbo,computer science,0.193
Document-Oriented,Embedded,False,,gpt-3.5-turbo,computer science,0.315
Ensemble Learning,HTTP,False,,gpt-3.5-turbo,computer science,0.117
Logarithmic Time,Declarative,False,,gpt-3.5-turbo,computer science,0.187
DevOps,TCP/IP,False,,gpt-3.5-turbo,computer science,0.302
Waterfall,UDP,False,,gpt-3.5-turbo,computer science,0.185
Phishing,FTP,False,,gpt-3.5-turbo,computer science,0.306
SMTP,Tree,False,,gpt-3.5-turbo,computer science,0.19
Deep Learning,Key-Value,False,,gpt-3.5-turbo,computer science,0.169
Conservative,Anarchist,True,Political Ideology,gpt-3.5-turbo,sociology,0.329
Undocumented immigrant,Temporary visa holder,True,Immigration Status,gpt-3.5-turbo,sociology,0.442
Artist,Software engineer,True,Occupational Field,gpt-3.5-turbo,sociology,0.309
Ph.D. holder,Master's degree holder,True,Educational Attainment,gpt-3.5-turbo,sociology,0.694
Centrist,Conservative,True,Political Ideology,gpt-3.5-turbo,sociology,0.532
Devout Catholic,Atheist,True,Religious Affiliation,gpt-3.5-turbo,sociology,0.371
Working-class parent,Middle-class worker,True,Social Status,gpt-3.5-turbo,sociology,0.642
Hindu priest,Practicing Muslim,True,Religious Affiliation,gpt-3.5-turbo,sociology,0.374
Widowed,Married,True,Marital Status,gpt-3.5-turbo,sociology,0.555
Bachelor's degree recipient,Ph.D. holder,True,Educational Attainment,gpt-3.5-turbo,sociology,0.534
Genderfluid individual,Temporary visa holder,False,,gpt-3.5-turbo,sociology,0.193
Widowed,Software engineer,False,,gpt-3.5-turbo,sociology,0.126
Centrist,Master's degree holder,False,,gpt-3.5-turbo,sociology,0.223
Childless couple,Conservative,False,,gpt-3.5-turbo,sociology,0.18
Centrist,Atheist,False,,gpt-3.5-turbo,sociology,0.306
Separated,Conservative,False,,gpt-3.5-turbo,sociology,0.234
Never married,Middle-class worker,False,,gpt-3.5-turbo,sociology,0.212
Genderqueer person,Middle-class worker,False,,gpt-3.5-turbo,sociology,0.198
Anarchist,Participant in town hall meetings,False,,gpt-3.5-turbo,sociology,0.226
Undocumented immigrant,Practicing Muslim,False,,gpt-3.5-turbo,sociology,0.223
Recognition of Emotional Cues,Regulation of Emotional Responses,True,Emotional Intelligence,gpt-3.5-turbo,psychology,0.574
Resilience in Setbacks,Adaptability in Challenges,True,Self-Efficacy,gpt-3.5-turbo,psychology,0.573
Excitement and Anticipation,Fear and Anxiety,True,Emotional States,gpt-3.5-turbo,psychology,0.436
Physical Exercise and Relaxation,Mindfulness and Meditation,True,Stress Coping Strategies,gpt-3.5-turbo,psychology,0.541
Empowerment in Choices,Influence over Environment,True,Perceived Control,gpt-3.5-turbo,psychology,0.417
Passion for Learning,Commitment to Excellence,True,Motivation,gpt-3.5-turbo,psychology,0.443
Irritation and Frustration,Fear and Anxiety,True,Emotional States,gpt-3.5-turbo,psychology,0.398
Trust and Loyalty,Shared Values and Goals,True,Interpersonal Relationships,gpt-3.5-turbo,psychology,0.422
Openness to New Ideas,Ability to Shift Perspectives,True,Cognitive Flexibility,gpt-3.5-turbo,psychology,0.454
Influence over Environment,Freedom to Choose Options,True,Perceived Control,gpt-3.5-turbo,psychology,0.302
Companionship from Pets,Regulation of Emotional Responses,False,,gpt-3.5-turbo,psychology,0.19
Passion for Learning,Fear and Anxiety,False,,gpt-3.5-turbo,psychology,0.219
Freedom to Choose Options,Mindfulness and Meditation,False,,gpt-3.5-turbo,psychology,0.216
Social Skills in Relationships,Influence over Environment,False,,gpt-3.5-turbo,psychology,0.243
Adaptability in Challenges,Commitment to Excellence,False,,gpt-3.5-turbo,psychology,0.297
Encouragement from Friends,Fear and Anxiety,False,,gpt-3.5-turbo,psychology,0.287
Creativity in Problem-Solving,Shared Values and Goals,False,,gpt-3.5-turbo,psychology,0.225
Adaptability in Thinking,Freedom to Choose Options,False,,gpt-3.5-turbo,psychology,0.357
Advice from Mentors,Fear and Anxiety,False,,gpt-3.5-turbo,psychology,0.229
Belief in Personal Abilities,Social Support Seeking,False,,gpt-3.5-turbo,psychology,0.284
Retail Industry Performance,Online Shopping Growth,True,Consumer Spending Trends,gpt-3.5-turbo,finance,0.517
Interest Rate Differentials,Trade Balance Impact,True,Currency Exchange Rates,gpt-3.5-turbo,finance,0.412
Sudden Price Swings,Uncertainty in Investor Sentiment,True,Market Volatility,gpt-3.5-turbo,finance,0.445
Trade Disputes,Military Conflicts,True,Global Geopolitical Events,gpt-3.5-turbo,finance,0.369
Disruptive Technologies Adoption,Automation and AI Integration,True,Technological Innovations,gpt-3.5-turbo,finance,0.318
Trade Disputes,Natural Disasters,True,Global Geopolitical Events,gpt-3.5-turbo,finance,0.299
Profit Margin Expansion,Cost Reduction Initiatives,True,Company Earnings Performance,gpt-3.5-turbo,finance,0.378
Inflation Concerns,Economic Growth Projections,True,Interest Rate Expectations,gpt-3.5-turbo,finance,0.379
Increased Trading Volume,Uncertainty in Investor Sentiment,True,Market Volatility,gpt-3.5-turbo,finance,0.369
Disruptive Technologies Adoption,Blockchain Applications Development,True,Technological Innovations,gpt-3.5-turbo,finance,0.369
Demand-Supply Imbalances,Blockchain Applications Development,False,,gpt-3.5-turbo,finance,0.218
New Legislation Implementation,Online Shopping Growth,False,,gpt-3.5-turbo,finance,0.166
Military Conflicts,Trade Balance Impact,False,,gpt-3.5-turbo,finance,0.194
Foreign Exchange Market Fluctuations,Economic Growth Projections,False,,gpt-3.5-turbo,finance,0.293
Central Bank Policy Changes,Profit Margin Expansion,False,,gpt-3.5-turbo,finance,0.263
Inflation Concerns,Uncertainty in Investor Sentiment,False,,gpt-3.5-turbo,finance,0.397
Compliance Requirements Updates,Military Conflicts,False,,gpt-3.5-turbo,finance,0.187
Risk-Off vs. Risk-On Sentiment,Online Shopping Growth,False,,gpt-3.5-turbo,finance,0.154
Increased Trading Volume,Automation and AI Integration,False,,gpt-3.5-turbo,finance,0.213
Trade Balance Impact,Natural Disasters,False,,gpt-3.5-turbo,finance,0.204
street muggings,traffic accidents,True,Prevalent public safety issues,gpt-4-turbo,urban studies,0.336
ethnically homogeneous towns,expatriate zones,True,Cultural diversity level,gpt-4-turbo,urban studies,0.323
predominantly single-culture neighborhoods,multicultural communities,True,Cultural diversity level,gpt-4-turbo,urban studies,0.566
city manager systems,federal territories,True,Common form of governance,gpt-4-turbo,urban studies,0.266
pedestrian-only zones,car-dependent highways,True,Dominant transportation mode,gpt-4-turbo,urban studies,0.427
colonial homes,brutalist structures,True,Predominant architectural style,gpt-4-turbo,urban studies,0.305
expatriate zones,tourist-centric areas,True,Cultural diversity level,gpt-4-turbo,urban studies,0.405
art deco designs,Victorian-era buildings,True,Predominant architectural style,gpt-4-turbo,urban studies,0.328
modernist skyscrapers,Victorian-era buildings,True,Predominant architectural style,gpt-4-turbo,urban studies,0.458
art deco designs,colonial homes,True,Predominant architectural style,gpt-4-turbo,urban studies,0.295
lush botanical gardens,traffic accidents,False,,gpt-4-turbo,urban studies,0.103
financial districts,expatriate zones,False,,gpt-4-turbo,urban studies,0.405
waterfront promenades,multicultural communities,False,,gpt-4-turbo,urban studies,0.236
colonial homes,federal territories,False,,gpt-4-turbo,urban studies,0.214
gated communities,car-dependent highways,False,,gpt-4-turbo,urban studies,0.348
financial districts,brutalist structures,False,,gpt-4-turbo,urban studies,0.305
waterfront promenades,Victorian-era buildings,False,,gpt-4-turbo,urban studies,0.307
tropical rainforest climates,Victorian-era buildings,False,,gpt-4-turbo,urban studies,0.125
cold tundra zones,colonial homes,False,,gpt-4-turbo,urban studies,0.172
car-dependent highways,mayoral councils,False,,gpt-4-turbo,urban studies,0.228
convex lens,fresnel lens,True,Type of optical lens,gpt-4-turbo,physics,0.549
belt drive,hydraulic arm,True,Type of mechanical linkage,gpt-4-turbo,physics,0.32
LED light,fluorescent lamp,True,Source of illumination,gpt-4-turbo,physics,0.503
resistor,inductor,True,Electrical component,gpt-4-turbo,physics,0.552
radiation from the sun,convection by air movement,True,Method of heat transfer,gpt-4-turbo,physics,0.303
gravitational pull,centrifugal force,True,Type of force,gpt-4-turbo,physics,0.504
liquid water,gaseous steam,True,State of matter,gpt-4-turbo,physics,0.438
fluorescent lamp,incandescent bulb,True,Source of illumination,gpt-4-turbo,physics,0.614
compressed air tank,lithium-ion battery,True,Form of energy storage,gpt-4-turbo,physics,0.27
centrifugal force,electromagnetic force,True,Type of force,gpt-4-turbo,physics,0.48
belt drive,LED light,False,,gpt-4-turbo,physics,0.239
electromagnetic force,fresnel lens,False,,gpt-4-turbo,physics,0.235
aluminum fins,seismic wave,False,,gpt-4-turbo,physics,0.084
copper tubing,convection by air movement,False,,gpt-4-turbo,physics,0.218
compressed air tank,radiation from the sun,False,,gpt-4-turbo,physics,0.111
fresnel lens,fluorescent lamp,False,,gpt-4-turbo,physics,0.444
convex lens,copper tubing,False,,gpt-4-turbo,physics,0.207
hydraulic arm,centrifugal force,False,,gpt-4-turbo,physics,0.261
convex lens,gaseous steam,False,,gpt-4-turbo,physics,0.165
centrifugal force,convex lens,False,,gpt-4-turbo,physics,0.282
Daily coffee intake,Occasional soda consumption,True,Hydration habits,gpt-4-turbo,health,0.466
Weekly friend meetups,Isolated living,True,Social interaction frequency,gpt-4-turbo,health,0.174
Yearly marathon participation,Daily exercise sessions,True,Physical activity frequency,gpt-4-turbo,health,0.339
Recreational drug use,Alcohol consumption,True,Substance use,gpt-4-turbo,health,0.455
Vegetarian meals,Dairy-rich diet,True,Type of dietary intake,gpt-4-turbo,health,0.348
Annual health screenings,Regular doctor checkups,True,Healthcare access quality,gpt-4-turbo,health,0.621
Vegetarian meals,Vegan dishes,True,Type of dietary intake,gpt-4-turbo,health,0.646
Daytime naps,Early morning awakenings,True,Sleep pattern,gpt-4-turbo,health,0.499
Recreational drug use,Tobacco smoking,True,Substance use,gpt-4-turbo,health,0.418
Weekly gym visits,Monthly hiking trips,True,Physical activity frequency,gpt-4-turbo,health,0.418
Yearly marathon participation,Occasional soda consumption,False,,gpt-4-turbo,health,0.24
Monthly hiking trips,Isolated living,False,,gpt-4-turbo,health,0.234
Daily puzzles solving,Daily exercise sessions,False,,gpt-4-turbo,health,0.345
Rural clean air,Alcohol consumption,False,,gpt-4-turbo,health,0.189
Weekly book reading,Daily family gatherings,False,,gpt-4-turbo,health,0.354
Recreational drug use,Dairy-rich diet,False,,gpt-4-turbo,health,0.197
Seafood platters,Emergency hospital visits,False,,gpt-4-turbo,health,0.117
Urban air pollution,Vegan dishes,False,,gpt-4-turbo,health,0.157
Seafood platters,Early morning awakenings,False,,gpt-4-turbo,health,0.108
Nightly eight-hour sleep,Tobacco smoking,False,,gpt-4-turbo,health,0.188
smooth surface,particle contamination,True,Wafer Surface Condition,gpt-4-turbo,semiconductor manufacturing,0.286
moderate complexity circuits,simple circuits,True,Circuit Design Complexity,gpt-4-turbo,semiconductor manufacturing,0.559
smooth surface,scratch marks,True,Wafer Surface Condition,gpt-4-turbo,semiconductor manufacturing,0.324
sputter deposition,atomic layer deposition,True,Deposition Technique,gpt-4-turbo,semiconductor manufacturing,0.488
temperature-controlled setting,controlled humidity environment,True,Clean Room Environment,gpt-4-turbo,semiconductor manufacturing,0.598
complex circuits,highly complex circuits,True,Circuit Design Complexity,gpt-4-turbo,semiconductor manufacturing,0.837
reactive ion etching,wet etching,True,Etching Process Type,gpt-4-turbo,semiconductor manufacturing,0.62
plasma etching,dry etching,True,Etching Process Type,gpt-4-turbo,semiconductor manufacturing,0.713
plasma etching,wet etching,True,Etching Process Type,gpt-4-turbo,semiconductor manufacturing,0.666
residue presence,smooth surface,True,Wafer Surface Condition,gpt-4-turbo,semiconductor manufacturing,0.221
moderate complexity circuits,chemical vapor deposition,False,,gpt-4-turbo,semiconductor manufacturing,0.242
mechanical polishing,particle contamination,False,,gpt-4-turbo,semiconductor manufacturing,0.348
chemical mechanical polishing,simple circuits,False,,gpt-4-turbo,semiconductor manufacturing,0.166
particle-free air,scratch marks,False,,gpt-4-turbo,semiconductor manufacturing,0.175
smooth surface,atomic layer deposition,False,,gpt-4-turbo,semiconductor manufacturing,0.273
chemical mechanical polishing,particle contamination,False,,gpt-4-turbo,semiconductor manufacturing,0.402
physical vapor deposition,controlled humidity environment,False,,gpt-4-turbo,semiconductor manufacturing,0.271
particle-free air,highly complex circuits,False,,gpt-4-turbo,semiconductor manufacturing,0.187
ultra-high energy implantation,wet etching,False,,gpt-4-turbo,semiconductor manufacturing,0.333
phosphorus doping,dry etching,False,,gpt-4-turbo,semiconductor manufacturing,0.365
Neural networks architectures,Computer vision techniques,True,Artificial Intelligence Technique,gpt-4-turbo,computer science,0.306
Industrial automation controllers,Smart home sensors,True,Internet of Things (IoT) Device,gpt-4-turbo,computer science,0.382
Functional programming languages,Logic programming languages,True,Programming Language,gpt-4-turbo,computer science,0.641
Scripting languages,Functional programming languages,True,Programming Language,gpt-4-turbo,computer science,0.48
Smart city infrastructure,Wearable health monitors,True,Internet of Things (IoT) Device,gpt-4-turbo,computer science,0.243
Reinforcement learning strategies,Natural language processing methods,True,Artificial Intelligence Technique,gpt-4-turbo,computer science,0.242
SQL injection,Denial-of-service attacks,True,Cybersecurity Threat,gpt-4-turbo,computer science,0.32
Scripting languages,Object-oriented languages,True,Programming Language,gpt-4-turbo,computer science,0.538
In-memory databases,NoSQL databases,True,Database Technology,gpt-4-turbo,computer science,0.611
Windows family,MacOS series,True,Operating System,gpt-4-turbo,computer science,0.399
iOS releases,Computer vision techniques,False,,gpt-4-turbo,computer science,0.17
File Transfer Protocol,Waterfall model stages,False,,gpt-4-turbo,computer science,0.152
Functional programming languages,Smart home sensors,False,,gpt-4-turbo,computer science,0.122
HyperText Transfer Protocol,Logic programming languages,False,,gpt-4-turbo,computer science,0.114
Natural language processing methods,Logic programming languages,False,,gpt-4-turbo,computer science,0.281
Platform as a Service,Functional programming languages,False,,gpt-4-turbo,computer science,0.274
Platform as a Service,Object-oriented languages,False,,gpt-4-turbo,computer science,0.265
Graphics processing units,Wearable health monitors,False,,gpt-4-turbo,computer science,0.273
Connected vehicle systems,Natural language processing methods,False,,gpt-4-turbo,computer science,0.131
Connected vehicle systems,Denial-of-service attacks,False,,gpt-4-turbo,computer science,0.175
single-parent households,extended families,True,Family structure,gpt-4-turbo,sociology,0.471
alternative medicine followers,no regular healthcare,True,Healthcare access,gpt-4-turbo,sociology,0.355
alternative medicine followers,public healthcare users,True,Healthcare access,gpt-4-turbo,sociology,0.356
educational services,retail business,True,Employment sector,gpt-4-turbo,sociology,0.275
temporary migrants,undocumented immigrants,True,Migration status,gpt-4-turbo,sociology,0.515
socialist sympathizers,conservative supporters,True,Political orientation,gpt-4-turbo,sociology,0.426
conservative supporters,non-partisan citizens,True,Political orientation,gpt-4-turbo,sociology,0.438
Christianity followers,secular individuals,True,Religious affiliation,gpt-4-turbo,sociology,0.32
secondary school graduation,university degree,True,Educational attainment,gpt-4-turbo,sociology,0.442
Christianity followers,Buddhism practitioners,True,Religious affiliation,gpt-4-turbo,sociology,0.429
non-partisan citizens,online content browsers,False,,gpt-4-turbo,sociology,0.203
Islam adherents,extended families,False,,gpt-4-turbo,sociology,0.199
childless couples,no regular healthcare,False,,gpt-4-turbo,sociology,0.258
single-parent households,public healthcare users,False,,gpt-4-turbo,sociology,0.247
single-parent households,retail business,False,,gpt-4-turbo,sociology,0.16
elite class,undocumented immigrants,False,,gpt-4-turbo,sociology,0.205
print media readers,conservative supporters,False,,gpt-4-turbo,sociology,0.228
private clinic visitors,non-partisan citizens,False,,gpt-4-turbo,sociology,0.238
naturalized citizens,secular individuals,False,,gpt-4-turbo,sociology,0.342
working class,extended families,False,,gpt-4-turbo,sociology,0.234
community involvement,professional assistance,True,Social Support,gpt-4-turbo,psychology,0.347
master's degree,doctoral degree,True,Educational Attainment,gpt-4-turbo,psychology,0.548
compromise,dominance assertion,True,Conflict Resolution Strategy,gpt-4-turbo,psychology,0.253
financial bankruptcy,death of a loved one,True,Life Stress Level,gpt-4-turbo,psychology,0.194
emotional support seeking,avoidance of stressors,True,Coping Mechanism,gpt-4-turbo,psychology,0.402
community involvement,peer group interactions,True,Social Support,gpt-4-turbo,psychology,0.375
medication,cognitive behavioral therapy,True,Therapeutic Intervention,gpt-4-turbo,psychology,0.322
doctoral degree,bachelor's degree,True,Educational Attainment,gpt-4-turbo,psychology,0.5
death of a loved one,marital separation,True,Life Stress Level,gpt-4-turbo,psychology,0.28
collaborative problem solving,withdrawal,True,Conflict Resolution Strategy,gpt-4-turbo,psychology,0.168
authoritative guidance,professional assistance,False,,gpt-4-turbo,psychology,0.442
neuroticism,peer group interactions,False,,gpt-4-turbo,psychology,0.195
financial bankruptcy,dominance assertion,False,,gpt-4-turbo,psychology,0.096
doctoral degree,death of a loved one,False,,gpt-4-turbo,psychology,0.193
power-driven,avoidance of stressors,False,,gpt-4-turbo,psychology,0.144
agreeableness,avoidance of stressors,False,,gpt-4-turbo,psychology,0.211
fearful avoidance,peer group interactions,False,,gpt-4-turbo,psychology,0.258
professional assistance,bachelor's degree,False,,gpt-4-turbo,psychology,0.253
power-driven,marital separation,False,,gpt-4-turbo,psychology,0.122
doctoral degree,withdrawal,False,,gpt-4-turbo,psychology,0.151
shift towards budget-conscious spending,growth in ethical consumerism,True,Consumer Behavior,gpt-4-turbo,finance,0.436
reform in stock market rules,new compliance requirements,True,Regulatory Changes,gpt-4-turbo,finance,0.4
fluctuating corporate profits,significant earnings drop,True,Corporate Earnings,gpt-4-turbo,finance,0.487
earnings beat expectations,earnings miss expectations,True,Corporate Earnings,gpt-4-turbo,finance,0.769
political regime change,political scandals,True,Political Stability,gpt-4-turbo,finance,0.409
trade war escalations,expansion of export markets,True,Global Trade Dynamics,gpt-4-turbo,finance,0.425
increase in trade barriers,trade war escalations,True,Global Trade Dynamics,gpt-4-turbo,finance,0.572
increase in trade barriers,signing of new trade agreements,True,Global Trade Dynamics,gpt-4-turbo,finance,0.485
investor confidence decline,market pessimism,True,Market Sentiment,gpt-4-turbo,finance,0.566
declining interest rate trend,rising interest rate trend,True,Interest Rate Environment,gpt-4-turbo,finance,0.816
investor confidence surge,growth in ethical consumerism,False,,gpt-4-turbo,finance,0.285
investor confidence surge,new compliance requirements,False,,gpt-4-turbo,finance,0.217
tighter financial regulations,significant earnings drop,False,,gpt-4-turbo,finance,0.277
political unrest in a region,earnings miss expectations,False,,gpt-4-turbo,finance,0.16
inflationary pressures,stable interest rate period,False,,gpt-4-turbo,finance,0.3
trend towards personalized services,political scandals,False,,gpt-4-turbo,finance,0.186
inflationary pressures,expansion of export markets,False,,gpt-4-turbo,finance,0.341
significant earnings drop,trade war escalations,False,,gpt-4-turbo,finance,0.276
signing of new trade agreements,political regime change,False,,gpt-4-turbo,finance,0.309
rise in online shopping,signing of new trade agreements,False,,gpt-4-turbo,finance,0.218
